plot,subplot,density,treatment,shelterBlock,AVseedin,AVseedout,ERseedin,ERseedout,rm
1,D1_A1_E9,D1,consistentDry,A,2,18.476190476190474,18,30,0
1,D1_A10,D1,consistentDry,A,20,78,0,NA,0
1,D1_A5_E5,D1,consistentDry,A,10,76,10,70,0
1,D1_A9_E1,D1,consistentDry,A,18,292,2,20,0
1,D1_E10,D1,consistentDry,A,0,NA,20,5,0
1,D2_A1_E9,D2,consistentDry,A,20,6,180,312.5,0
1,D2_A10,D2,consistentDry,A,200,295,0,NA,0
1,D2_A5_E5,D2,consistentDry,A,100,380,100,287.5,0
1,D2_A9_E1,D2,consistentDry,A,180,320,20,20,0
1,D2_E10,D2,consistentDry,A,0,NA,200,87.5,0
2,D1_A1_E9,D1,fallDry,A,2,36,18,20,0
2,D1_A10,D1,fallDry,A,20,190,0,NA,0
2,D1_A5_E5,D1,fallDry,A,10,0,10,325,0
2,D1_A9_E1,D1,fallDry,A,18,162,2,70,0
2,D1_E10,D1,fallDry,A,0,NA,20,175,NA
2,D2_A1_E9,D2,fallDry,A,20,220,180,175,0
2,D2_A10,D2,fallDry,A,200,20,0,NA,0
2,D2_A5_E5,D2,fallDry,A,100,160,100,312.5,0
2,D2_A9_E1,D2,fallDry,A,180,685,20,0,0
2,D2_E10,D2,fallDry,A,0,NA,200,350,NA
3,D1_A1_E9,D1,controlRain,A,2,112,18,10,0
3,D1_A10,D1,controlRain,A,20,338,0,NA,0
3,D1_A5_E5,D1,controlRain,A,10,360,10,5,0
3,D1_A9_E1,D1,controlRain,A,18,338,2,0,0
3,D1_E10,D1,controlRain,A,0,NA,20,65,0
3,D2_A1_E9,D2,controlRain,A,20,564,180,62.5,0
3,D2_A10,D2,controlRain,A,200,810,0,NA,0
3,D2_A5_E5,D2,controlRain,A,100,1285,100,0,0
3,D2_A9_E1,D2,controlRain,A,180,1320,20,0,0
3,D2_E10,D2,controlRain,A,0,NA,200,150,0
4,D1_A1_E9,D1,springDry,A,2,61.6,18,0,0
4,D1_A10,D1,springDry,A,20,134,0,NA,0
4,D1_A5_E5,D1,springDry,A,10,58,10,0,0
4,D1_A9_E1,D1,springDry,A,18,112,2,10,0
4,D1_E10,D1,springDry,A,0,NA,20,185,0
4,D2_A1_E9,D2,springDry,A,20,74,180,37.5,0
4,D2_A10,D2,springDry,A,200,480,0,NA,0
4,D2_A5_E5,D2,springDry,A,100,545,100,62.5,0
4,D2_A9_E1,D2,springDry,A,180,1175,20,0,0
4,D2_E10,D2,springDry,A,0,NA,200,50,0
5,D1_A1_E9,D1,fallDry,B,2,0,18,120,0
5,D1_A10,D1,fallDry,B,20,152,0,NA,0
5,D1_A5_E5,D1,fallDry,B,10,102,10,85,0
5,D1_A9_E1,D1,fallDry,B,18,240,2,20,0
5,D1_E10,D1,fallDry,B,0,NA,20,70,NA
5,D2_A1_E9,D2,fallDry,B,20,60,180,0,0
5,D2_A10,D2,fallDry,B,200,95,0,NA,0
5,D2_A5_E5,D2,fallDry,B,100,485,100,35,0
5,D2_A9_E1,D2,fallDry,B,180,690,20,90,0
5,D2_E10,D2,fallDry,B,0,NA,200,50,NA
6,D1_A1_E9,D1,controlRain,B,2,124,18,0,0
6,D1_A10,D1,controlRain,B,20,452,0,NA,0
6,D1_A5_E5,D1,controlRain,B,10,212,10,0,0
6,D1_A9_E1,D1,controlRain,B,18,168,2,0,0
6,D1_E10,D1,controlRain,B,0,NA,20,160,0
6,D2_A1_E9,D2,controlRain,B,20,616,180,300,0
6,D2_A10,D2,controlRain,B,200,395,0,NA,0
6,D2_A5_E5,D2,controlRain,B,100,770,100,137.5,0
6,D2_A9_E1,D2,controlRain,B,180,1025,20,0,0
6,D2_E10,D2,controlRain,B,0,NA,200,637.5,0
7,D1_A1_E9,D1,springDry,B,2,48,18,350,0
7,D1_A10,D1,springDry,B,20,352,0,NA,0
7,D1_A5_E5,D1,springDry,B,10,272,10,0,0
7,D1_A9_E1,D1,springDry,B,18,314,2,80,0
7,D1_E10,D1,springDry,B,0,NA,20,0,0
7,D2_A1_E9,D2,springDry,B,20,158,180,0,0
7,D2_A10,D2,springDry,B,200,NA,0,NA,0
7,D2_A5_E5,D2,springDry,B,100,755,100,62.5,0
7,D2_A9_E1,D2,springDry,B,180,85,20,15,0
7,D2_E10,D2,springDry,B,0,NA,200,80,0
8,D1_A1_E9,D1,consistentDry,B,2,33.6,18,0,0
8,D1_A10,D1,consistentDry,B,20,178,0,NA,0
8,D1_A5_E5,D1,consistentDry,B,10,153.84615384615387,10,25,0
8,D1_A9_E1,D1,consistentDry,B,18,226.95652173913044,2,20,0
8,D1_E10,D1,consistentDry,B,0,NA,20,115,0
8,D2_A1_E9,D2,consistentDry,B,20,138,180,50,0
8,D2_A10,D2,consistentDry,B,200,205,0,NA,0
8,D2_A5_E5,D2,consistentDry,B,100,605,100,0,0
8,D2_A9_E1,D2,consistentDry,B,180,825,20,295,0
8,D2_E10,D2,consistentDry,B,0,NA,200,512.5,0
9,D1_A1_E9,D1,fallDry,C,2,26,18,190,0
9,D1_A10,D1,fallDry,C,20,68,0,NA,0
9,D1_A5_E5,D1,fallDry,C,10,198,10,115,0
9,D1_A9_E1,D1,fallDry,C,18,108,2,110,0
9,D1_E10,D1,fallDry,C,0,NA,20,370,NA
9,D2_A1_E9,D2,fallDry,C,20,104,180,400,0
9,D2_A10,D2,fallDry,C,200,520,0,NA,0
9,D2_A5_E5,D2,fallDry,C,100,295,100,162.5,0
9,D2_A9_E1,D2,fallDry,C,180,105,20,105,0
9,D2_E10,D2,fallDry,C,0,NA,200,975,NA
10,D1_A1_E9,D1,consistentDry,C,2,34,18,185,0
10,D1_A10,D1,consistentDry,C,20,152,0,NA,0
10,D1_A5_E5,D1,consistentDry,C,10,70,10,80,0
10,D1_A9_E1,D1,consistentDry,C,18,186,2,65,0
10,D1_E10,D1,consistentDry,C,0,NA,20,670,0
10,D2_A1_E9,D2,consistentDry,C,20,100,180,187.5,0
10,D2_A10,D2,consistentDry,C,200,550,0,NA,0
10,D2_A5_E5,D2,consistentDry,C,100,465,100,137.5,0
10,D2_A9_E1,D2,consistentDry,C,180,775,20,65,0
10,D2_E10,D2,consistentDry,C,0,NA,200,212.5,0
11,D1_A1_E9,D1,controlRain,C,2,54,18,0,0
11,D1_A10,D1,controlRain,C,20,20,0,NA,0
11,D1_A5_E5,D1,controlRain,C,10,216.36363636363635,10,60,0
11,D1_A9_E1,D1,controlRain,C,18,234,2,0,0
11,D1_E10,D1,controlRain,C,0,NA,20,0,0
11,D2_A1_E9,D2,controlRain,C,20,270,180,35,0
11,D2_A10,D2,controlRain,C,200,630,0,NA,0
11,D2_A5_E5,D2,controlRain,C,100,980,100,10,0
11,D2_A9_E1,D2,controlRain,C,180,310,20,0,0
11,D2_E10,D2,controlRain,C,0,NA,200,0,0
12,D1_A1_E9,D1,springDry,C,2,20,18,30,0
12,D1_A10,D1,springDry,C,20,98,0,NA,0
12,D1_A5_E5,D1,springDry,C,10,98.46153846153847,10,35,0
12,D1_A9_E1,D1,springDry,C,18,134,2,25,0
12,D1_E10,D1,springDry,C,0,NA,20,20,0
12,D2_A1_E9,D2,springDry,C,20,92,180,45,0
12,D2_A10,D2,springDry,C,200,255,0,NA,0
12,D2_A5_E5,D2,springDry,C,100,275,100,50,0
12,D2_A9_E1,D2,springDry,C,180,330,20,35,0
