PRISM Time Series Data
Location:  Lat: 39.2690   Lon: -121.3512   Elev: 528ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1895-10 - 2016-05
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2017-Oct-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1895-10,0.12
1895-11,1.78
1895-12,3.47
1896-01,10.83
1896-02,0.74
1896-03,4.15
1896-04,6.34
1896-05,2.16
1896-06,0.00
1896-07,0.07
1896-08,0.20
1896-09,0.84
1896-10,1.23
1896-11,6.42
1896-12,4.52
1897-01,3.44
1897-02,7.52
1897-03,4.15
1897-04,0.91
1897-05,0.37
1897-06,0.44
1897-07,0.00
1897-08,0.00
1897-09,0.23
1897-10,2.31
1897-11,2.88
1897-12,3.16
1898-01,1.26
1898-02,5.19
1898-03,0.78
1898-04,0.53
1898-05,1.67
1898-06,0.38
1898-07,0.00
1898-08,0.00
1898-09,0.53
1898-10,1.18
1898-11,2.55
1898-12,2.01
1899-01,5.78
1899-02,1.47
1899-03,8.09
1899-04,0.84
1899-05,1.46
1899-06,0.49
1899-07,0.00
1899-08,0.21
1899-09,0.15
1899-10,4.42
1899-11,5.93
1899-12,5.60
1900-01,4.07
1900-02,1.67
1900-03,3.47
1900-04,2.21
1900-05,1.78
1900-06,0.12
1900-07,0.00
1900-08,0.00
1900-09,0.45
1900-10,3.40
1900-11,4.22
1900-12,3.45
1901-01,6.49
1901-02,7.14
1901-03,2.13
1901-04,3.23
1901-05,0.84
1901-06,0.00
1901-07,0.00
1901-08,0.00
1901-09,1.61
1901-10,1.92
1901-11,3.40
1901-12,2.66
1902-01,1.42
1902-02,11.34
1902-03,3.65
1902-04,2.39
1902-05,1.10
1902-06,0.10
1902-07,0.00
1902-08,0.00
1902-09,0.00
1902-10,2.00
1902-11,4.59
1902-12,4.79
1903-01,7.10
1903-02,1.88
1903-03,7.58
1903-04,0.65
1903-05,0.23
1903-06,0.02
1903-07,0.00
1903-08,0.00
1903-09,0.01
1903-10,0.53
1903-11,7.64
1903-12,2.28
1904-01,1.82
1904-02,10.88
1904-03,10.45
1904-04,1.91
1904-05,0.03
1904-06,0.00
1904-07,0.00
1904-08,0.02
1904-09,3.85
1904-10,3.13
1904-11,2.56
1904-12,3.79
1905-01,4.43
1905-02,4.12
1905-03,5.45
1905-04,1.64
1905-05,2.46
1905-06,0.12
1905-07,0.00
1905-08,0.07
1905-09,0.19
1905-10,0.00
1905-11,2.01
1905-12,1.76
1906-01,10.39
1906-02,6.35
1906-03,10.70
1906-04,2.09
1906-05,3.41
1906-06,0.94
1906-07,0.00
1906-08,0.00
1906-09,0.32
1906-10,0.00
1906-11,2.08
1906-12,11.22
1907-01,6.05
1907-02,6.44
1907-03,14.05
1907-04,1.80
1907-05,0.51
1907-06,1.43
1907-07,0.00
1907-08,0.00
1907-09,0.04
1907-10,0.44
1907-11,0.15
1907-12,5.95
1908-01,4.96
1908-02,3.69
1908-03,1.93
1908-04,0.60
1908-05,2.86
1908-06,0.01
1908-07,0.00
1908-08,0.00
1908-09,0.14
1908-10,0.96
1908-11,2.36
1908-12,2.90
1909-01,18.06
1909-02,8.84
1909-03,2.91
1909-04,0.13
1909-05,0.40
1909-06,0.25
1909-07,0.00
1909-08,0.00
1909-09,0.45
1909-10,1.92
1909-11,5.27
1909-12,7.93
1910-01,5.07
1910-02,3.46
1910-03,3.20
1910-04,0.36
1910-05,0.31
1910-06,0.00
1910-07,0.00
1910-08,0.00
1910-09,0.66
1910-10,0.57
1910-11,1.62
1910-12,2.42
1911-01,19.46
1911-02,3.57
1911-03,6.93
1911-04,2.02
1911-05,0.39
1911-06,0.11
1911-07,0.00
1911-08,0.00
1911-09,0.09
1911-10,0.66
1911-11,1.00
1911-12,1.71
1912-01,3.49
1912-02,0.69
1912-03,4.12
1912-04,2.23
1912-05,2.05
1912-06,0.44
1912-07,0.00
1912-08,0.00
1912-09,2.19
1912-10,0.66
1912-11,3.72
1912-12,1.65
1913-01,5.00
1913-02,0.95
1913-03,2.40
1913-04,1.46
1913-05,1.56
1913-06,0.26
1913-07,0.07
1913-08,0.00
1913-09,0.00
1913-10,0.00
1913-11,5.83
1913-12,8.69
1914-01,13.07
1914-02,6.10
1914-03,0.74
1914-04,1.62
1914-05,0.86
1914-06,1.29
1914-07,0.00
1914-08,0.00
1914-09,0.00
1914-10,1.42
1914-11,0.82
1914-12,4.79
1915-01,7.30
1915-02,10.10
1915-03,2.63
1915-04,1.66
1915-05,5.03
1915-06,0.00
1915-07,0.00
1915-08,0.00
1915-09,0.00
1915-10,0.11
1915-11,2.09
1915-12,7.11
1916-01,14.28
1916-02,5.50
1916-03,2.43
1916-04,0.18
1916-05,0.89
1916-06,0.04
1916-07,0.33
1916-08,0.00
1916-09,0.52
1916-10,1.40
1916-11,2.90
1916-12,5.37
1917-01,2.58
1917-02,6.85
1917-03,1.83
1917-04,2.86
1917-05,0.61
1917-06,0.00
1917-07,0.00
1917-08,0.00
1917-09,0.40
1917-10,0.00
1917-11,0.95
1917-12,1.88
1918-01,1.11
1918-02,7.09
1918-03,6.50
1918-04,1.41
1918-05,0.20
1918-06,0.00
1918-07,0.00
1918-08,0.00
1918-09,3.99
1918-10,1.10
1918-11,3.28
1918-12,1.83
1919-01,2.78
1919-02,11.08
1919-03,3.73
1919-04,0.82
1919-05,0.11
1919-06,0.00
1919-07,0.00
1919-08,0.00
1919-09,0.72
1919-10,0.36
1919-11,0.83
1919-12,4.73
1920-01,0.86
1920-02,2.31
1920-03,6.86
1920-04,2.99
1920-05,0.06
1920-06,0.36
1920-07,0.06
1920-08,0.30
1920-09,0.21
