date,plot,subplot,number,ERO,AV,notes,density,AVtrt,EROtrt
16-Dec-14,Plot_1,D1_E10,1,1,0,,D1,A0,E10
16-Dec-14,Plot_1,D3_A5_E5,2,7,29,,D3,A5,E5
16-Dec-14,Plot_1,D3_A1_E9,3,1.2,47,in 25 x 10,D3,A1,E9
16-Dec-14,Plot_1,D1_A9_E1,4,2,13,,D1,A9,E1
16-Dec-14,Plot_1,D1_A5_E5,5,3,4,,D1,A5,E5
16-Dec-14,Plot_1,D3_A9_E1,6,2,35,,D3,A9,E1
16-Dec-14,Plot_1,D3_A10,7,0,32,,D3,A10,E0
16-Dec-14,Plot_1,D1_A1_E9,8,8,18,,D1,A1,E9
16-Dec-14,Plot_1,D2_A5_E5,9,7,23,,D2,A5,E5
16-Dec-14,Plot_1,D2_A10,10,1,21,,D2,A10,E0
16-Dec-14,Plot_1,D2_E10,11,1,1,,D2,A0,E10
16-Dec-14,Plot_1,D2_A9_E1,12,3,14,,D2,A9,E1
16-Dec-14,Plot_1,D3_E10,13,9,0,,D3,A0,E10
16-Dec-14,Plot_1,D1_A10,14,0,9,,D1,A10,E0
16-Dec-14,Plot_1,D2_A1_E9,15,6,11,,D2,A1,E9
16-Dec-14,Plot_10,D3_E10,1,10,0,,D3,A0,E10
16-Dec-14,Plot_10,D1_A9_E1,2,4,8,,D1,A9,E1
16-Dec-14,Plot_10,D2_A5_E5,3,5,17,,D2,A5,E5
16-Dec-14,Plot_10,D2_A9_E1,4,6,35,,D2,A9,E1
16-Dec-14,Plot_10,D1_A10,5,0,8,,D1,A10,E0
16-Dec-14,Plot_10,D1_A1_E9,6,12,3,,D1,A1,E9
16-Dec-14,Plot_10,D1_A5_E5,7,10,6,,D1,A5,E5
16-Dec-14,Plot_10,D2_A1_E9,8,2,10,,D2,A1,E9
16-Dec-14,Plot_10,D2_A10,9,0,13,,D2,A10,E0
16-Dec-14,Plot_10,D3_A10,10,0,8,,D3,A10,E0
16-Dec-14,Plot_10,D3_A9_E1,11,7,3,,D3,A9,E1
16-Dec-14,Plot_10,D3_A1_E9,12,2,37,,D3,A1,E9
16-Dec-14,Plot_10,D3_A5_E5,13,4,6,,D3,A5,E5
16-Dec-14,Plot_10,D1_E10,14,15,0,,D1,A0,E10
16-Dec-14,Plot_10,D2_E10,15,4,12,,D2,A0,E10
16-Dec-14,Plot_11,D1_A1_E9,1,2,2,,D1,A1,E9
16-Dec-14,Plot_11,D3_A1_E9,2,0.3,48,in 25 x 10,D3,A1,E9
16-Dec-14,Plot_11,D3_E10,3,0.04,0,whole plot,D3,A0,E10
16-Dec-14,Plot_11,D1_A10,4,0,2,,D1,A10,E0
16-Dec-14,Plot_11,D3_A9_E1,5,1,7,,D3,A9,E1
16-Dec-14,Plot_11,D2_E10,6,0,0,,D2,A0,E10
16-Dec-14,Plot_11,D2_A1_E9,7,3,11,,D2,A1,E9
16-Dec-14,Plot_11,D1_E10,8,0,0,,D1,A0,E10
16-Dec-14,Plot_11,D3_A10,9,0,40,,D3,A10,E0
16-Dec-14,Plot_11,D2_A9_E1,10,1,29,,D2,A9,E1
16-Dec-14,Plot_11,D3_A5_E5,11,1,5,,D3,A5,E5
16-Dec-14,Plot_11,D2_A10,12,0,21,,D2,A10,E0
16-Dec-14,Plot_11,D2_A5_E5,13,1,17,,D2,A5,E5
16-Dec-14,Plot_11,D1_A5_E5,14,3,13,,D1,A5,E5
16-Dec-14,Plot_11,D1_A9_E1,15,0,15,,D1,A9,E1
16-Dec-14,Plot_12,D2_A9_E1,1,2,33,,D2,A9,E1
16-Dec-14,Plot_12,D2_A1_E9,2,1,7,,D2,A1,E9
16-Dec-14,Plot_12,D2_E10,3,3,0,,D2,A0,E10
16-Dec-14,Plot_12,D2_A5_E5,4,3,24,,D2,A5,E5
16-Dec-14,Plot_12,D3_A1_E9,5,1,53,or else 0.5 for ero,D3,A1,E9
16-Dec-14,Plot_12,D1_A5_E5,6,3,20,,D1,A5,E5
16-Dec-14,Plot_12,D3_E10,7,11,0,,D3,A0,E10
16-Dec-14,Plot_12,D1_A1_E9,8,0,2,,D1,A1,E9
16-Dec-14,Plot_12,D1_A10,9,0,19,,D1,A10,E0
16-Dec-14,Plot_12,D3_A10,10,0,36,,D3,A10,E0
16-Dec-14,Plot_12,D1_A9_E1,11,1,20,,D1,A9,E1
16-Dec-14,Plot_12,D1_E10,12,2,0,,D1,A0,E10
16-Dec-14,Plot_12,D2_A10,13,0,13,,D2,A10,E0
16-Dec-14,Plot_12,D3_A5_E5,14,1.5,13,,D3,A5,E5
16-Dec-14,Plot_12,D3_A9_E1,15,1,25,,D3,A9,E1
16-Dec-14,Plot_13,D2_A10,1,0,14,,D2,A10,E0
16-Dec-14,Plot_13,D2_A5_E5,2,2,20,,D2,A5,E5
16-Dec-14,Plot_13,D1_A5_E5,3,9,10,,D1,A5,E5
16-Dec-14,Plot_13,D2_E10,4,9,0,,D2,A0,E10
16-Dec-14,Plot_13,D3_A10,5,0,1,,D3,A10,E0
16-Dec-14,Plot_13,D2_A1_E9,6,3,17,,D2,A1,E9
16-Dec-14,Plot_13,D3_A5_E5,7,2,5,,D3,A5,E5
16-Dec-14,Plot_13,D1_A9_E1,8,3,18,,D1,A9,E1
16-Dec-14,Plot_13,D1_A1_E9,9,2,5,,D1,A1,E9
16-Dec-14,Plot_13,D3_A9_E1,10,2,1,,D3,A9,E1
16-Dec-14,Plot_13,D1_E10,11,9,0,,D1,A0,E10
16-Dec-14,Plot_13,D3_A1_E9,12,2,30,,D3,A1,E9
16-Dec-14,Plot_13,D2_A9_E1,13,4,30,,D2,A9,E1
16-Dec-14,Plot_13,D1_A10,14,0,17,,D1,A10,E0
16-Dec-14,Plot_13,D3_E10,15,0,9,,D3,A0,E10
16-Dec-14,Plot_14,D2_A10,1,0,19,,D2,A10,E0
16-Dec-14,Plot_14,D1_E10,2,4,0,,D1,A0,E10
16-Dec-14,Plot_14,D3_A5_E5,3,2,12,,D3,A5,E5
16-Dec-14,Plot_14,D1_A9_E1,4,2,4,,D1,A9,E1
16-Dec-14,Plot_14,D3_A1_E9,5,0.04,31,ero whole plot,D3,A1,E9
16-Dec-14,Plot_14,D2_A9_E1,6,2,22,,D2,A9,E1
16-Dec-14,Plot_14,D3_E10,7,8,0,,D3,A0,E10
16-Dec-14,Plot_14,D3_A10,8,0,7,,D3,A10,E0
16-Dec-14,Plot_14,D1_A1_E9,9,4,2,,D1,A1,E9
16-Dec-14,Plot_14,D3_A9_E1,10,1,3,,D3,A9,E1
16-Dec-14,Plot_14,D1_A5_E5,11,5,2,,D1,A5,E5
16-Dec-14,Plot_14,D2_A1_E9,12,2,8,,D2,A1,E9
16-Dec-14,Plot_14,D1_A10,13,0,5,,D1,A10,E0
16-Dec-14,Plot_14,D2_A5_E5,14,3,9,,D2,A5,E5
16-Dec-14,Plot_14,D2_E10,15,2,0,,D2,A0,E10
