,date,Recorder,plot,number,subplot,AVquadrat,AVquadrat2,AVstemsTotal,AVstemswseed,AVgoodseed,AVmoldseed,AVstemswmold,AVstemsnoseed,Avextra,EROquadrat,EROquadrat2,EROcount,EROstork,EROseed,EROextra,notes
1,4/15/15,CTW,1,1,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,1,1,0,,
2,4/15/15,CTW,1,2,D3_A5_E5,5x5cm,5x5cm,9,,38,5,,,,5x5cm,5x5cm,0,0,0,,
3,4/15/15,CTW,1,3,D3_A1_E9,25x25cm,25x25cm,36,,270,96,,,,5x5cm,5x5cm,2,0,3,,
4,4/15/15,CTW,1,4,D1_A9_E1,25x25cm,25x25cm,8,,146,16,,,,25x25cm,25x25cm,1,3,1,,
5,4/15/15,CTW,1,5,D1_A5_E5,25x25cm,25x25cm,3,,38,0,,,,25x25cm,25x25cm,2,6,8,,Not all AV seeds out yet
6,4/15/15,CTW,1,6,D3_A9_E1,5x5cm,5x5cm,16,,6,3,,,,25x25cm,25x25cm,0,0,0,,
7,4/15/15,CTW,1,7,D3_A10,5x5cm,5x5cm,16,,26,0,,,,NA,NA,NA,NA,NA,,
8,4/15/15,CTW,1,8,D1_A1_E9,25x25cm,25x25cm,21,,97,0,,,,25x25cm,25x25cm,1,5,1,,"Not all AV seeds out yet, ERO on edge and shriveled"
9,4/15/15,CTW,1,9,D2_A5_E5,10x25cm,10x25cm,19,,76,17,,,,10x25cm,10x25cm,5,10,13,,
10,4/15/15,CTW,1,10,D2_A10,10x25cm,10x25cm,17,,59,0,,,,NA,NA,NA,NA,NA,,
11,4/15/15,CTW,1,11,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,1,7,0,,
12,4/15/15,CTW,1,12,D2_A9_E1,10x25cm,10x25cm,10,,64,11,,,,25x25cm,25x25cm,1,2,2,,
13,4/15/15,CTW,1,13,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,3,1,13,,
14,4/15/15,CTW,1,14,D1_A10,25x25cm,25x25cm,9,,39,24,,,,NA,NA,NA,NA,NA,,
15,4/15/15,CTW,1,15,D2_A1_E9,25x25cm,25x25cm,7,,3,45,,,,10x25cm,10x25cm,3,12,13,,Not all AV seeds out yet
16,4/15/15,CTW,2,1,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,8,13,15,,
17,4/15/15,CTW,2,2,D2_A10,10x25cm,10x25cm,4,,4,16,,,,NA,NA,NA,NA,NA,,
